,time,length
278,2019-08-30 19:06:01-07:00,8
279,2019-08-30 19:21:01-07:00,9
280,2019-08-30 18:42:01-07:00,10
281,2019-08-30 19:12:01-07:00,9
282,2019-08-30 19:16:01-07:00,0
283,2019-08-30 18:46:01-07:00,10
284,2019-08-30 19:07:01-07:00,10
285,2019-08-30 19:16:01-07:00,10
286,2019-08-30 19:00:01-07:00,10
287,2019-08-30 19:14:01-07:00,10
288,2019-08-30 19:29:01-07:00,10
289,2019-08-30 19:00:01-07:00,10
290,2019-08-30 19:15:01-07:00,10
291,2019-08-30 19:30:01-07:00,10
292,2019-08-30 19:01:01-07:00,10
293,2019-08-30 19:11:01-07:00,9
294,2019-08-30 19:27:01-07:00,9
295,2019-08-30 19:03:01-07:00,10
296,2019-08-30 19:18:01-07:00,9
297,2019-08-30 19:34:01-07:00,10
298,2019-08-30 18:53:01-07:00,10
299,2019-08-30 19:06:01-07:00,8
300,2019-08-30 19:21:01-07:00,9
301,2019-08-30 19:13:01-07:00,9
302,2019-08-30 19:17:01-07:00,0
303,2019-08-30 19:30:01-07:00,10
304,2019-08-30 19:07:01-07:00,10
305,2019-08-30 19:16:01-07:00,10
306,2019-08-30 18:33:46-07:00,10
307,2019-08-30 18:43:46-07:00,10
308,2019-08-30 19:00:46-07:00,10
309,2019-08-30 18:30:46-07:00,10
310,2019-08-30 18:35:46-07:00,9
311,2019-08-30 18:38:46-07:00,10
312,2019-08-30 18:40:46-07:00,10
313,2019-08-30 18:58:46-07:00,9
314,2019-08-30 19:10:46-07:00,9
315,2019-08-30 18:35:46-07:00,9
316,2019-08-30 18:50:46-07:00,9
317,2019-08-30 19:02:46-07:00,10
318,2019-08-30 18:36:46-07:00,9
319,2019-08-30 18:50:46-07:00,10
320,2019-08-30 19:05:46-07:00,8
321,2019-08-30 18:41:46-07:00,10
322,2019-08-30 19:11:46-07:00,9
323,2019-08-30 19:15:46-07:00,0
324,2019-08-30 18:30:46-07:00,10
325,2019-08-30 18:46:46-07:00,10
326,2019-08-30 19:06:46-07:00,10
327,2019-08-30 18:33:46-07:00,10
328,2019-08-30 18:43:46-07:00,10
329,2019-08-30 19:00:46-07:00,10
330,2019-08-30 18:23:46-07:00,10
331,2019-08-30 18:31:46-07:00,10
332,2019-08-30 18:35:46-07:00,9
333,2019-08-30 18:28:46-07:00,8
334,2019-08-30 18:40:46-07:00,10
335,2019-08-30 18:58:46-07:00,9
336,2019-08-30 18:25:46-07:00,10
337,2019-08-30 18:34:46-07:00,9
338,2019-08-30 18:50:46-07:00,9
339,2019-08-30 18:21:46-07:00,9
340,2019-08-30 18:26:46-07:00,10
341,2019-08-30 18:22:46-07:00,10
342,2019-08-30 18:36:46-07:00,9
343,2019-08-30 18:50:46-07:00,10
344,2019-08-30 18:27:46-07:00,10
345,2019-08-30 18:41:46-07:00,10
346,2019-08-30 19:10:46-07:00,9
347,2019-08-30 18:31:46-07:00,10
348,2019-08-30 18:46:46-07:00,10
349,2019-08-30 19:07:46-07:00,10
350,2019-08-30 23:05:31-07:00,10
351,2019-08-30 23:29:31-07:00,10
352,2019-08-30 23:53:31-07:00,10
353,2019-08-30 23:05:31-07:00,8
354,2019-08-30 23:29:31-07:00,10
355,2019-08-30 23:53:31-07:00,9
356,2019-08-30 22:50:31-07:00,9
357,2019-08-30 23:12:31-07:00,9
358,2019-08-30 23:36:31-07:00,9
359,2019-08-30 23:18:31-07:00,10
360,2019-08-30 22:55:31-07:00,10
361,2019-08-30 23:10:31-07:00,10
362,2019-08-30 23:34:31-07:00,10
363,2019-08-30 23:58:31-07:00,10
364,2019-08-30 22:41:31-07:00,10
365,2019-08-30 23:05:31-07:00,10
366,2019-08-30 23:29:31-07:00,10
367,2019-08-30 22:42:31-07:00,10
368,2019-08-30 23:05:31-07:00,8
369,2019-08-30 23:29:31-07:00,10
370,2019-08-30 22:50:31-07:00,9
371,2019-08-30 23:12:31-07:00,9
372,2019-08-30 23:36:31-07:00,9
373,2019-08-30 23:18:31-07:00,10
374,2019-08-30 22:55:31-07:00,10
375,2019-08-30 22:46:31-07:00,10
376,2019-08-30 23:10:31-07:00,10
377,2019-08-30 23:34:31-07:00,10
378,2019-08-30 23:29:31-07:00,10
379,2019-08-30 23:53:31-07:00,10
380,2019-08-31 00:26:31-07:00,10
381,2019-08-30 23:32:31-07:00,10
382,2019-08-30 23:53:31-07:00,9
383,2019-08-31 00:17:31-07:00,9
384,2019-08-30 23:36:31-07:00,10
385,2019-08-31 00:00:31-07:00,9
386,2019-08-31 01:02:31-07:00,10
387,2019-08-30 23:34:31-07:00,10
388,2019-08-31 00:01:31-07:00,10
389,2019-08-31 00:22:31-07:00,10
390,2019-08-30 20:42:01-07:00,9
391,2019-08-30 21:05:01-07:00,10
392,2019-08-30 21:29:01-07:00,10
393,2019-08-30 20:44:01-07:00,10
394,2019-08-30 20:56:01-07:00,10
395,2019-08-30 21:05:01-07:00,9
396,2019-08-30 20:47:01-07:00,8
397,2019-08-30 21:12:01-07:00,9
398,2019-08-30 20:33:01-07:00,9
399,2019-08-30 20:53:01-07:00,10
400,2019-08-30 21:02:01-07:00,10
401,2019-08-30 20:34:01-07:00,10
402,2019-08-30 20:51:01-07:00,10
403,2019-08-30 21:10:01-07:00,10
404,2019-08-30 20:21:01-07:00,9
405,2019-08-30 20:41:01-07:00,10
406,2019-08-30 21:05:01-07:00,10
407,2019-08-30 20:22:01-07:00,8
408,2019-08-30 20:44:01-07:00,10
409,2019-08-30 20:56:01-07:00,10
410,2019-08-30 20:08:01-07:00,10
411,2019-08-30 20:26:01-07:00,10
